"1D.pop.Benf" "1D.pop.MAD" "2D.geo.Benf" "2D.geo.MAD" "3D.socgeo.Benf" "3D.socgeo.MAD" "scenario"
"46" "Acceptable conformity" 0.00143 "Marginally acceptable conformity" 0.00205 "Nonconformity" 0.00367 2
"47" "Acceptable conformity" 0.00121 "Marginally acceptable conformity" 0.00196 "Nonconformity" 0.00394 2
"48" "Close conformity" 0.00118 "Marginally acceptable conformity" 0.00191 "Nonconformity" 0.00362 2
"49" "Acceptable conformity" 0.00154 "Marginally acceptable conformity" 0.00209 "Nonconformity" 0.00394 2
"50" "Acceptable conformity" 0.00126 "Marginally acceptable conformity" 0.00201 "Nonconformity" 0.00373 2
"51" "Acceptable conformity" 0.00128 "Marginally acceptable conformity" 0.00201 "Nonconformity" 0.00381 2
"52" "Acceptable conformity" 0.0016 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00362 2
"53" "Close conformity" 0.00097 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.0038 2
"54" "Close conformity" 0.00114 "Marginally acceptable conformity" 0.00192 "Nonconformity" 0.00339 2
"55" "Acceptable conformity" 0.00145 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00387 2
"56" "Close conformity" 0.00108 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00387 2
"57" "Close conformity" 0.00107 "Marginally acceptable conformity" 0.00191 "Nonconformity" 0.00397 2
"58" "Close conformity" 0.00099 "Marginally acceptable conformity" 0.00187 "Nonconformity" 0.00384 2
"59" "Acceptable conformity" 0.00127 "Marginally acceptable conformity" 0.00188 "Nonconformity" 0.00363 2
"60" "Acceptable conformity" 0.0013 "Marginally acceptable conformity" 0.00184 "Nonconformity" 0.00335 2
"61" "Close conformity" 0.00118 "Nonconformity" 0.00416 "Nonconformity" 0.0051 3
"62" "Acceptable conformity" 0.00124 "Nonconformity" 0.00428 "Nonconformity" 0.00506 3
"63" "Close conformity" 0.00116 "Nonconformity" 0.00432 "Nonconformity" 0.00508 3
"64" "Acceptable conformity" 0.00123 "Nonconformity" 0.00429 "Nonconformity" 0.00505 3
"65" "Acceptable conformity" 0.00164 "Nonconformity" 0.00412 "Nonconformity" 0.0048 3
"66" "Acceptable conformity" 0.0017 "Nonconformity" 0.0041 "Nonconformity" 0.00498 3
"67" "Acceptable conformity" 0.0012 "Nonconformity" 0.00421 "Nonconformity" 0.00487 3
"68" "Acceptable conformity" 0.00124 "Nonconformity" 0.00412 "Nonconformity" 0.00527 3
"69" "Acceptable conformity" 0.00138 "Nonconformity" 0.00422 "Nonconformity" 0.00496 3
"70" "Acceptable conformity" 0.00126 "Nonconformity" 0.00403 "Nonconformity" 0.00516 3
"71" "Close conformity" 0.00118 "Nonconformity" 0.00414 "Nonconformity" 0.00526 3
"72" "Acceptable conformity" 0.00155 "Nonconformity" 0.00401 "Nonconformity" 0.00515 3
"73" "Close conformity" 0.00119 "Nonconformity" 0.00422 "Nonconformity" 0.00536 3
"74" "Acceptable conformity" 0.00124 "Nonconformity" 0.00414 "Nonconformity" 0.00504 3
"75" "Close conformity" 0.00095 "Nonconformity" 0.00402 "Nonconformity" 0.00472 3
"76" "Acceptable conformity" 0.00171 "Nonconformity" 0.00422 "Nonconformity" 0.0054 3
"77" "Acceptable conformity" 0.00152 "Nonconformity" 0.00421 "Nonconformity" 0.00534 3
"78" "Acceptable conformity" 0.00155 "Nonconformity" 0.00419 "Nonconformity" 0.0052 3
"79" "Acceptable conformity" 0.00131 "Nonconformity" 0.00411 "Nonconformity" 0.00536 3
"80" "Close conformity" 0.001 "Nonconformity" 0.00423 "Nonconformity" 0.00524 3
"81" "Close conformity" 0.00119 "Nonconformity" 0.00402 "Nonconformity" 0.005 3
"82" "Acceptable conformity" 0.00127 "Nonconformity" 0.00418 "Nonconformity" 0.00528 3
"83" "Acceptable conformity" 0.0015 "Nonconformity" 0.00413 "Nonconformity" 0.00535 3
"84" "Acceptable conformity" 0.00132 "Nonconformity" 0.00428 "Nonconformity" 0.00519 3
"85" "Close conformity" 0.00108 "Nonconformity" 0.0042 "Nonconformity" 0.00498 3
"86" "Acceptable conformity" 0.00125 "Nonconformity" 0.00422 "Nonconformity" 0.00525 3
"87" "Close conformity" 0.00102 "Nonconformity" 0.00401 "Nonconformity" 0.00474 3
"88" "Close conformity" 0.00119 "Nonconformity" 0.0042 "Nonconformity" 0.0052 3
"89" "Acceptable conformity" 0.00124 "Nonconformity" 0.00407 "Nonconformity" 0.00469 3
"90" "Close conformity" 0.00114 "Nonconformity" 0.00429 "Nonconformity" 0.00512 3
"91" "Nonconformity" 0.00241 "Close conformity" 0.00104 "Acceptable conformity" 0.0015 4
"92" "Nonconformity" 0.00274 "Close conformity" 0.00106 "Acceptable conformity" 0.00161 4
"93" "Nonconformity" 0.00257 "Close conformity" 0.00105 "Acceptable conformity" 0.00165 4
"94" "Nonconformity" 0.00256 "Acceptable conformity" 0.00122 "Acceptable conformity" 0.00158 4
"95" "Nonconformity" 0.00248 "Close conformity" 0.00111 "Acceptable conformity" 0.00144 4
"96" "Nonconformity" 0.00245 "Close conformity" 0.00118 "Acceptable conformity" 0.0016 4
"97" "Nonconformity" 0.00279 "Close conformity" 0.00101 "Marginally acceptable conformity" 0.00184 4
"98" "Nonconformity" 0.00279 "Close conformity" 0.00097 "Acceptable conformity" 0.00169 4
"99" "Nonconformity" 0.00245 "Close conformity" 0.00117 "Acceptable conformity" 0.00137 4
"100" "Nonconformity" 0.00227 "Close conformity" 0.00102 "Acceptable conformity" 0.00156 4
"101" "Nonconformity" 0.00264 "Acceptable conformity" 0.00134 "Acceptable conformity" 0.00166 4
"102" "Nonconformity" 0.00255 "Close conformity" 0.00094 "Acceptable conformity" 0.00171 4
"103" "Nonconformity" 0.00238 "Close conformity" 0.00082 "Acceptable conformity" 0.00167 4
"104" "Nonconformity" 0.0027 "Close conformity" 0.00105 "Acceptable conformity" 0.00157 4
"105" "Nonconformity" 0.00254 "Close conformity" 0.00109 "Acceptable conformity" 0.00152 4
"106" "Nonconformity" 0.00236 "Close conformity" 0.00087 "Acceptable conformity" 0.00151 4
"107" "Nonconformity" 0.00271 "Acceptable conformity" 0.00122 "Acceptable conformity" 0.00176 4
"108" "Nonconformity" 0.00246 "Close conformity" 0.00107 "Marginally acceptable conformity" 0.00182 4
"109" "Nonconformity" 0.00225 "Close conformity" 0.00105 "Acceptable conformity" 0.00145 4
"110" "Nonconformity" 0.0027 "Close conformity" 0.00105 "Acceptable conformity" 0.00155 4
"111" "Nonconformity" 0.00246 "Acceptable conformity" 0.00135 "Acceptable conformity" 0.0016 4
"112" "Nonconformity" 0.00229 "Acceptable conformity" 0.00129 "Acceptable conformity" 0.00148 4
"113" "Nonconformity" 0.00264 "Close conformity" 0.00094 "Acceptable conformity" 0.0016 4
"114" "Nonconformity" 0.00264 "Acceptable conformity" 0.00129 "Acceptable conformity" 0.00156 4
"115" "Nonconformity" 0.00238 "Close conformity" 0.00098 "Acceptable conformity" 0.00146 4
"116" "Nonconformity" 0.00277 "Close conformity" 0.00102 "Acceptable conformity" 0.00151 4
"117" "Marginally acceptable conformity" 0.0022 "Close conformity" 0.00108 "Acceptable conformity" 0.0013 4
"118" "Nonconformity" 0.00269 "Close conformity" 0.00112 "Acceptable conformity" 0.00142 4
"119" "Nonconformity" 0.00246 "Close conformity" 0.00098 "Acceptable conformity" 0.00143 4
"120" "Nonconformity" 0.00269 "Close conformity" 0.0011 "Acceptable conformity" 0.00136 4
"121" "Nonconformity" 0.00254 "Nonconformity" 0.00303 "Close conformity" 0.00105 5
"122" "Nonconformity" 0.0026 "Nonconformity" 0.003 "Close conformity" 0.00096 5
"123" "Nonconformity" 0.00259 "Nonconformity" 0.00306 "Close conformity" 0.00104 5
"124" "Nonconformity" 0.00249 "Nonconformity" 0.00297 "Close conformity" 0.0011 5
"125" "Nonconformity" 0.00258 "Nonconformity" 0.00302 "Close conformity" 0.00107 5
"126" "Nonconformity" 0.00307 "Nonconformity" 0.00288 "Close conformity" 0.00102 5
"127" "Nonconformity" 0.00225 "Nonconformity" 0.00298 "Close conformity" 0.00105 5
"128" "Nonconformity" 0.00237 "Nonconformity" 0.00288 "Close conformity" 0.00076 5
"129" "Nonconformity" 0.00229 "Nonconformity" 0.00288 "Close conformity" 0.00101 5
"130" "Nonconformity" 0.00273 "Nonconformity" 0.00293 "Close conformity" 0.00089 5
"131" "Nonconformity" 0.0023 "Nonconformity" 0.00314 "Close conformity" 0.00102 5
"132" "Marginally acceptable conformity" 0.00217 "Nonconformity" 0.00299 "Close conformity" 0.00102 5
"133" "Nonconformity" 0.00272 "Nonconformity" 0.00298 "Close conformity" 0.00092 5
"134" "Nonconformity" 0.00232 "Nonconformity" 0.00297 "Close conformity" 0.00112 5
"135" "Nonconformity" 0.00277 "Nonconformity" 0.00305 "Close conformity" 0.00114 5
"136" "Nonconformity" 0.00276 "Nonconformity" 0.00308 "Close conformity" 0.00106 5
"137" "Nonconformity" 0.0024 "Nonconformity" 0.0031 "Close conformity" 0.00096 5
"138" "Nonconformity" 0.00248 "Nonconformity" 0.00298 "Close conformity" 0.00107 5
"139" "Nonconformity" 0.00268 "Nonconformity" 0.00293 "Close conformity" 0.00082 5
"140" "Nonconformity" 0.00275 "Nonconformity" 0.00292 "Close conformity" 0.00092 5
"141" "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00294 "Close conformity" 0.00096 5
"142" "Nonconformity" 0.00254 "Nonconformity" 0.00295 "Close conformity" 0.00088 5
"143" "Nonconformity" 0.00271 "Nonconformity" 0.00296 "Close conformity" 0.00099 5
"144" "Nonconformity" 0.00229 "Nonconformity" 0.00299 "Close conformity" 0.00102 5
"145" "Nonconformity" 0.00249 "Nonconformity" 0.00301 "Close conformity" 0.00088 5
"146" "Marginally acceptable conformity" 0.0022 "Nonconformity" 0.00301 "Close conformity" 0.001 5
"147" "Nonconformity" 0.00261 "Nonconformity" 0.00301 "Close conformity" 0.00081 5
"148" "Nonconformity" 0.00238 "Nonconformity" 0.00293 "Acceptable conformity" 0.00121 5
"149" "Nonconformity" 0.00237 "Nonconformity" 0.00294 "Close conformity" 0.00097 5
"150" "Nonconformity" 0.00238 "Nonconformity" 0.00297 "Close conformity" 0.00092 5
