"country" "continent" "name.as.map" "tot.pop" "how.many.cities" "coefvar.popul" "Zipf" "Benford.dist" "Benford.pop.vec" "Benford.pop.dist" "Benford.socgeo.dist" "RofClarkEvans" "ClarkEvans.pvalue" "MAD.dist" "MAD.pop.vec" "MAD.pop.dist" "MAD.socgeo.dist" "Benford.dist.nr" "Benford.pop.vec.nr" "Benford.pop.dist.nr" "Benford.socgeo.dist.nr" "ClarkEvans.lab"
"11" "Hungary" "Europe" "Hungary" 8476605 844 6.031 -1.098 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.156 0 0.0045 0.0066 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"12" "Turkey" "Europe" "Turkey" 50692345 791 6.285 -0.736 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.248 0 0.0038 0.0034 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"13" "Italy" "Europe" "Italy" 38341127 985 2.793 -1.368 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.875 0 0.0034 0.0069 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"14" "France" "Europe" "France" 31885315 1000 2.512 -1.373 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.718 0 0.0051 0.0061 6e-04 6e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"15" "Ireland" "Europe" "Ireland" 2496596 165 5.39 -0.87 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.202 0 0.0049 0.0067 0.0015 0.0014 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"16" "UK" "Europe" "United Kingdom" 46091534 925 5.085 -1.124 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.865 0 0.0036 0.0043 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"17" "Czech Republic" "Europe" "Czech Republic" 8050322 950 5.021 -1.025 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.065 0 0.0043 0.0063 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"18" "Romania" "Europe" "Romania" 15860099 999 4.206 -1.268 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.008 0.614 0.0057 0.0105 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "random"
"19" "Austria" "Europe" "Austria" 4579682 235 5.345 -1.231 "Nonconformity" "Nonconformity" "Acceptable conformity" "Close conformity" 0.916 0.014 0.0038 0.0091 0.0012 0.0012 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "1.Close conformity" "clustering"
"20" "Luxembourg" "Europe" "Luxembourg" 457517 473 4.109 -0.66 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.07 0.015 0.005 0.0039 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"21" "Cyprus" "Europe" "Cyprus" 861193 315 5.57 -0.477 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.98 0.514 0.0034 0.004 0.0016 0.0016 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"22" "Serbia and Montenegro" "Europe" "Serbia" 6084889 254 3.174 -0.862 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.068 0.046 0.0036 0.0069 0.0015 0.0015 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"23" "Greece" "Europe" "Greece" 8864860 1000 3.436 -0.887 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.806 0 0.0043 0.0063 9e-04 9e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"24" "Croatia" "Europe" "Croatia" 2981910 545 5.907 -1.023 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.913 0 0.006 0.0068 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"25" "Bulgaria" "Europe" "Bulgaria" 5411968 241 3.705 -0.777 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.185 0 0.0048 0.0058 0.0011 0.0011 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"26" "Latvia" "Europe" "Latvia" 1553871 77 4.21 -0.694 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.202 0.001 0.0045 0.0087 0.0039 0.0039 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"27" "Slovenia" "Europe" "Slovenia" 1059836 203 3.678 -0.999 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.881 0.002 0.0036 0.0074 0.0017 0.0017 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"28" "Sweden" "Europe" "Sweden" 5120277 104 2.707 -1.11 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.781 0 0.003 0.0084 0.0018 0.0018 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"29" "Lithuania" "Europe" "Lithuania" 2304771 113 3.196 -0.602 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 1.259 0 0.0057 0.0076 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "ordering"
"30" "Iceland" "Europe" "Iceland" 280561 100 4.273 -0.54 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.81 0.001 0.0056 0.008 0.0027 0.0027 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"31" "Ukraine" "Europe" "Ukraine" 30946491 959 3.848 -0.954 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.08 0 0.0043 0.006 0.001 9e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"32" "Poland" "Europe" "Poland" 21424871 439 2.296 -1.07 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.225 0 0.0061 0.0052 9e-04 9e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"33" "Moldova" "Europe" "Moldova" 1637425 44 2.562 -0.922 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.289 0.001 0.005 0.0126 0.0039 0.0039 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"34" "Macedonia" "Europe" "Macedonia" 2064327 117 2.643 -0.682 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.085 0.08 0.0058 0.0081 0.0017 0.0017 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"35" "Belarus" "Europe" "Belarus" 6551127 102 2.92 -0.768 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 1.169 0.001 0.0056 0.0096 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "ordering"
"36" "Malta" "Europe" "Malta" 383203 66 0.801 -0.853 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.244 0 0.0072 0.0104 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"37" "Albania" "Europe" "Albania" 1536232 67 2.219 -0.652 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.189 0.003 0.004 0.0105 0.0028 0.0028 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"38" "Bosnia and Herzegovina" "Europe" "Bosnia and Herzegovina" 3112202 226 3.895 -1.212 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.002 0.947 0.0047 0.0103 0.0018 0.0017 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"39" "Slovakia" "Europe" "Slovakia" 3000275 129 1.901 -1.011 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.193 0 0.0033 0.0075 0.0017 0.0017 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"40" "Greenland" "Europe" "Greenland" 57171 102 3.052 -0.371 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.382 0 0.0053 0.008 0.0037 0.0031 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"41" "Faroe Islands" "Europe" "Faroe Is." 51126 116 3.06 -0.466 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.324 0 0.0025 0.0082 0.0025 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"42" "Palestine" "Asia" "West Bank" 3194488 244 2.793 -0.993 "Acceptable conformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.905 0.012 0.0018 0.0069 0.0014 0.0014 "2.Acceptable conformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"43" "Pakistan" "Asia" "Pakistan" 52669145 418 5.511 -0.796 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.833 0 0.0033 0.0042 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"44" "Kuwait" "Asia" "Kuwait" 2495753 70 1.022 -0.74 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.322 0 0.0043 0.0097 0.0021 0.0021 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"45" "Iraq" "Asia" "Iraq" 19133272 80 3.012 -0.748 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.842 0.007 0.0039 0.0104 0.0028 0.0028 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"46" "Saudi Arabia" "Asia" "Saudi Arabia" 19109902 186 3.955 -0.701 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.73 0 0.0059 0.0073 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"47" "Syria" "Asia" "Syria" 9207372 105 2.657 -1.01 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.785 0 0.0043 0.0089 0.0018 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"48" "Israel" "Asia" "Israel" 6257740 193 2.179 -0.712 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.786 0 0.0029 0.0056 0.0015 0.0015 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"49" "Iran" "Asia" "Iran" 43489648 266 3.065 -0.887 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.954 0.157 0.0043 0.005 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "random"
"50" "Jordan" "Asia" "Jordan" 4595029 151 3.851 -0.927 "Acceptable conformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.564 0 0.0013 0.0084 0.0019 0.0019 "2.Acceptable conformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"51" "Lebanon" "Asia" "Lebanon" 2350490 19 2.309 -0.564 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.341 0.006 0.0076 0.0158 0.0081 0.0081 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"52" "Bahrain" "Asia" "Bahrain" 642508 11 0.714 -0.898 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.884 0.557 0.0118 0.0196 0.011 0.011 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"53" "Afghanistan" "Asia" "Afghanistan" 7543856 117 4.516 -0.878 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.006 0.9 0.0047 0.0089 0.0024 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"54" "Yemen" "Asia" "Yemen" 5492077 30 2.091 -0.527 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.755 0.01 0.0047 0.0147 0.0056 0.0056 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"55" "Georgia" "Asia" "Georgia" 2390926 113 4.702 -0.589 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.909 0.065 0.0036 0.006 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"56" "Japan" "Asia" "Japan" 111663882 999 3.057 -1.061 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.8 0 0.0022 0.0051 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"57" "Kazakhstan" "Asia" "Kazakhstan" 9554096 320 3.018 -0.669 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.832 0 0.0048 0.0046 0.0014 0.0014 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"58" "Oman" "Asia" "Oman" 2427928 42 0.913 -0.972 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.582 0 0.0046 0.0129 0.0037 0.0037 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"59" "Indonesia" "Asia" "Indonesia" 70925228 476 3.02 -1.04 "Marginally acceptable conformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.824 0 0.0021 0.0037 0.0012 0.0012 "3.Marginally acceptable conformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"60" "Bangladesh" "Asia" "Bangladesh" 24439114 143 3.791 -1.047 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 1.211 0 0.0047 0.0086 0.0016 0.0016 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "ordering"
"61" "India" "Asia" "India" 233828791 963 2.846 -1.131 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.949 0.003 0.0055 0.0066 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"62" "Armenia" "Asia" "Armenia" 2733722 402 8.108 -1.143 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.752 0 0.0042 0.0067 0.0011 0.0011 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"63" "Qatar" "Asia" "Qatar" 796156 27 2.86 -0.379 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.626 0 0.0057 0.0139 0.0048 0.0048 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"64" "Philippines" "Asia" "Philippines" 45566666 980 7.401 -0.98 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.882 0 0.004 0.0066 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"65" "Russia" "Asia" "Russia" 96033691 985 3.972 -0.985 "Marginally acceptable conformity" "Nonconformity" "Close conformity" "Close conformity" 0.471 0 0.0022 0.0052 9e-04 9e-04 "3.Marginally acceptable conformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"66" "China" "Asia" "China" 256454744 892 2.551 -1.023 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.729 0 0.0033 0.0073 0.0013 0.0013 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"67" "Tajikistan" "Asia" "Tajikistan" 1769309 80 2.799 -0.821 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.881 0.049 0.0045 0.0093 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"68" "Korea South" "Asia" "S. Korea" 44067868 132 3.055 -0.734 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 1.074 0.121 0.0052 0.0076 0.002 0.002 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"69" "Azerbaijan" "Asia" "Azerbaijan" 4181919 187 3.883 -0.59 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.902 0.015 0.0057 0.0052 0.0014 0.0014 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"70" "East Timor" "Asia" "East Timor" 290736 19 2.369 -0.734 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.232 0.06 0.0075 0.0152 0.0082 0.0082 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"71" "Kyrgyzstan" "Asia" "Kyrgyzstan" 1970377 33 2.662 -0.864 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.803 0.033 0.0058 0.015 0.0057 0.0058 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"72" "Turkmenistan" "Asia" "Turkmenistan" 2281214 32 2.061 -0.862 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.77 0.013 0.0079 0.0136 0.0052 0.0052 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"73" "Uzbekistan" "Asia" "Uzbekistan" 9072002 153 2.824 -1.065 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.608 0 0.0032 0.008 0.0022 0.0022 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"74" "Myanmar" "Asia" "Myanmar" 11691264 66 3.225 -0.939 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.04 0.534 0.0035 0.0122 0.0031 0.0031 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"75" "Malaysia" "Asia" "Malaysia" 18423917 163 1.776 -0.818 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.749 0 0.0043 0.0074 0.0021 0.0021 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"76" "Mongolia" "Asia" "Mongolia" 1495079 25 2.812 -0.871 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.073 0.484 0.0055 0.0152 0.0058 0.0058 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"77" "Nepal" "Asia" "Nepal" 3567819 52 1.69 -1.032 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.999 0.989 0.0033 0.0119 0.0037 0.0037 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"78" "Sri Lanka" "Asia" "Sri Lanka" 4107945 71 1.456 -0.696 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.907 0.186 0.0039 0.009 0.002 0.002 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "random"
"79" "Thailand" "Asia" "Thailand" 16390934 293 5.186 -1.181 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.035 0.264 0.0027 0.0064 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "random"
"80" "Korea North" "Asia" "N. Korea" 9619277 130 3.689 -0.879 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.062 0.195 0.0033 0.0074 0.0024 0.0024 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"81" "Bhutan" "Asia" "Bhutan" 167583 38 2.726 -0.8 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.871 0.155 0.0051 0.0136 0.0042 0.0042 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"82" "Vietnam" "Asia" "Vietnam" 12228334 68 2.518 -0.896 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 1.268 0 0.0058 0.0085 0.0021 0.0021 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "ordering"
"83" "Laos" "Asia" "Laos" 614432 18 1.415 -0.639 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.321 0.014 0.007 0.0158 0.007 0.007 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"84" "Cambodia" "Asia" "Cambodia" 2823041 25 2.904 -0.72 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.417 0 0.0058 0.0161 0.0064 0.0064 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"85" "Taiwan" "Asia" "Taiwan" 16798317 98 1.861 -0.831 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.862 0.015 0.0044 0.0089 0.0023 0.0023 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"86" "Somalia" "Africa" "Somalia" 5651495 63 3.878 -0.645 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.348 0 0.0044 0.0096 0.0029 0.0029 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "ordering"
"87" "Ethiopia" "Africa" "Ethiopia" 7875750 133 4.137 -1.024 "Nonconformity" "Nonconformity" "Marginally acceptable conformity" "Marginally acceptable conformity" 0.754 0 0.0049 0.0063 0.0019 0.0019 "4.Nonconformity" "4.Nonconformity" "3.Marginally acceptable conformity" "3.Marginally acceptable conformity" "clustering"
"88" "Sudan" "Africa" "Sudan" 13626499 118 3.193 -0.697 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.651 0 0.0036 0.0091 0.0028 0.0028 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
"89" "Tunisia" "Africa" "Tunisia" 5680753 200 2.06 -0.84 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.865 0.001 0.0044 0.0061 0.0013 0.0013 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "clustering"
"90" "Algeria" "Africa" "Algeria" 20508642 316 1.94 -1.267 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.505 0 0.0032 0.0057 7e-04 7e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"91" "Mauritania" "Africa" "Mauritania" 1447918 29 2.655 -0.763 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.049 0.619 0.006 0.0139 0.0047 0.0047 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"92" "Nigeria" "Africa" "Nigeria" 56712953 521 4.426 -0.708 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 1.009 0.701 0.0053 0.0067 0.0025 0.0025 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "random"
"93" "Niger" "Africa" "Niger" 2121391 42 2.478 -0.83 "Nonconformity" "Nonconformity" "Nonconformity" "Nonconformity" 0.801 0.015 0.0047 0.0108 0.0043 0.0043 "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "4.Nonconformity" "clustering"
