"1D.pop.Benf" "1D.pop.MAD" "2D.geo.Benf" "2D.geo.MAD" "3D.socgeo.Benf" "3D.socgeo.MAD" "scenario"
"127" "Close conformity" 0.00084 "Acceptable conformity" 0.00121 "Nonconformity" 0.00251 1
"128" "Acceptable conformity" 0.00129 "Close conformity" 0.00111 "Nonconformity" 0.00226 1
"129" "Acceptable conformity" 0.00135 "Close conformity" 0.00109 "Marginally acceptable conformity" 0.00215 1
"130" "Acceptable conformity" 0.00123 "Close conformity" 0.00112 "Nonconformity" 0.00231 1
"131" "Acceptable conformity" 0.00125 "Close conformity" 0.00107 "Nonconformity" 0.00243 1
"132" "Acceptable conformity" 0.00134 "Close conformity" 0.00103 "Nonconformity" 0.00225 1
"133" "Acceptable conformity" 0.00167 "Close conformity" 0.00099 "Marginally acceptable conformity" 0.00212 1
"134" "Acceptable conformity" 0.00138 "Acceptable conformity" 0.00126 "Nonconformity" 0.00237 1
"135" "Close conformity" 0.00112 "Close conformity" 0.00118 "Nonconformity" 0.0024 1
"136" "Acceptable conformity" 0.00121 "Acceptable conformity" 0.00122 "Nonconformity" 0.00232 1
"137" "Close conformity" 0.00101 "Close conformity" 0.00096 "Marginally acceptable conformity" 0.00219 1
"138" "Acceptable conformity" 0.00161 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00215 1
"139" "Close conformity" 0.00116 "Close conformity" 0.00113 "Nonconformity" 0.0026 1
"140" "Acceptable conformity" 0.00161 "Close conformity" 0.00103 "Nonconformity" 0.00223 1
"141" "Acceptable conformity" 0.00125 "Close conformity" 0.00105 "Nonconformity" 0.00226 1
"142" "Acceptable conformity" 0.00125 "Close conformity" 0.00101 "Nonconformity" 0.00225 1
"143" "Acceptable conformity" 0.00121 "Close conformity" 0.001 "Nonconformity" 0.00223 1
"144" "Close conformity" 0.00112 "Acceptable conformity" 0.00125 "Nonconformity" 0.00242 1
"145" "Acceptable conformity" 0.00171 "Close conformity" 0.00115 "Marginally acceptable conformity" 0.00204 1
"146" "Close conformity" 0.00107 "Close conformity" 0.00101 "Nonconformity" 0.00235 1
"147" "Acceptable conformity" 0.00127 "Close conformity" 0.00115 "Nonconformity" 0.00229 1
"148" "Acceptable conformity" 0.00133 "Close conformity" 0.00095 "Nonconformity" 0.00224 1
"149" "Acceptable conformity" 0.00129 "Close conformity" 0.00103 "Marginally acceptable conformity" 0.00218 1
"150" "Acceptable conformity" 0.00134 "Close conformity" 0.0012 "Nonconformity" 0.00235 1
"151" "Acceptable conformity" 0.00159 "Acceptable conformity" 0.0012 "Marginally acceptable conformity" 0.00218 1
"152" "Close conformity" 0.00116 "Close conformity" 0.00112 "Nonconformity" 0.00249 1
"153" "Acceptable conformity" 0.00131 "Acceptable conformity" 0.00146 "Nonconformity" 0.00235 1
"154" "Close conformity" 0.00117 "Acceptable conformity" 0.00126 "Nonconformity" 0.00264 1
"155" "Close conformity" 0.00118 "Close conformity" 0.00109 "Nonconformity" 0.00237 1
"156" "Close conformity" 0.00109 "Close conformity" 0.00093 "Nonconformity" 0.00227 1
"157" "Close conformity" 0.00113 "Close conformity" 0.00108 "Nonconformity" 0.00232 1
"158" "Close conformity" 0.00116 "Close conformity" 0.00102 "Nonconformity" 0.00238 1
"159" "Acceptable conformity" 0.00131 "Close conformity" 0.001 "Nonconformity" 0.0025 1
"160" "Close conformity" 0.00117 "Close conformity" 0.00116 "Nonconformity" 0.00261 1
"161" "Close conformity" 0.00103 "Close conformity" 0.00102 "Nonconformity" 0.0023 1
"162" "Acceptable conformity" 0.00134 "Close conformity" 0.00098 "Marginally acceptable conformity" 0.0021 1
"163" "Acceptable conformity" 0.00122 "Close conformity" 0.00107 "Marginally acceptable conformity" 0.00219 1
"164" "Acceptable conformity" 0.00136 "Close conformity" 9e-04 "Nonconformity" 0.00225 1
"165" "Acceptable conformity" 0.00125 "Close conformity" 0.00108 "Marginally acceptable conformity" 0.00218 1
"166" "Acceptable conformity" 0.00128 "Close conformity" 0.00111 "Nonconformity" 0.0023 1
"167" "Acceptable conformity" 0.00148 "Close conformity" 0.00108 "Marginally acceptable conformity" 0.0021 1
"168" "Acceptable conformity" 0.00122 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.0022 1
"169" "Close conformity" 0.00115 "Close conformity" 0.00098 "Marginally acceptable conformity" 0.00208 1
"170" "Close conformity" 0.00109 "Close conformity" 0.00103 "Marginally acceptable conformity" 0.00206 1
"171" "Close conformity" 0.0011 "Close conformity" 0.00107 "Nonconformity" 0.00228 1
"172" "Acceptable conformity" 0.00127 "Acceptable conformity" 0.00124 "Nonconformity" 0.00254 1
"173" "Acceptable conformity" 0.00157 "Close conformity" 0.00112 "Marginally acceptable conformity" 0.00215 1
"174" "Acceptable conformity" 0.00147 "Close conformity" 0.00105 "Nonconformity" 0.00224 1
"175" "Close conformity" 0.00105 "Close conformity" 0.00092 "Nonconformity" 0.00235 1
"176" "Acceptable conformity" 0.00128 "Close conformity" 0.00118 "Nonconformity" 0.00235 1
"177" "Acceptable conformity" 0.00142 "Acceptable conformity" 0.0012 "Nonconformity" 0.00227 1
"178" "Close conformity" 0.00109 "Close conformity" 0.00116 "Nonconformity" 0.00232 1
"179" "Close conformity" 0.00099 "Close conformity" 0.00091 "Marginally acceptable conformity" 0.00205 1
"180" "Acceptable conformity" 0.00131 "Close conformity" 0.00091 "Marginally acceptable conformity" 0.00206 1
"181" "Acceptable conformity" 0.00149 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00211 1
"182" "Acceptable conformity" 0.00137 "Close conformity" 0.00118 "Nonconformity" 0.00242 1
"183" "Acceptable conformity" 0.00133 "Close conformity" 0.00118 "Nonconformity" 0.00227 1
"184" "Acceptable conformity" 0.00155 "Close conformity" 0.00104 "Nonconformity" 0.00226 1
"185" "Acceptable conformity" 0.0013 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00202 1
"186" "Close conformity" 0.00111 "Close conformity" 0.00107 "Nonconformity" 0.00239 1
"187" "Acceptable conformity" 0.00124 "Close conformity" 0.00104 "Nonconformity" 0.00242 1
"188" "Acceptable conformity" 0.00159 "Close conformity" 0.00117 "Nonconformity" 0.00253 1
"189" "Close conformity" 9e-04 "Close conformity" 0.00111 "Nonconformity" 0.00255 1
"190" "Acceptable conformity" 0.00131 "Close conformity" 0.00119 "Nonconformity" 0.0025 1
"191" "Acceptable conformity" 0.00124 "Close conformity" 0.00099 "Nonconformity" 0.00227 1
"192" "Acceptable conformity" 0.00138 "Close conformity" 0.00108 "Nonconformity" 0.00254 1
"193" "Acceptable conformity" 0.00143 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.00202 1
"194" "Close conformity" 0.00103 "Acceptable conformity" 0.00127 "Nonconformity" 0.00241 1
"195" "Close conformity" 0.00115 "Close conformity" 0.00115 "Nonconformity" 0.00242 1
"196" "Acceptable conformity" 0.00138 "Close conformity" 9e-04 "Nonconformity" 0.00223 1
"197" "Acceptable conformity" 0.00127 "Close conformity" 0.00113 "Marginally acceptable conformity" 0.00209 1
"198" "Acceptable conformity" 0.00158 "Close conformity" 0.00101 "Nonconformity" 0.00241 1
"199" "Close conformity" 0.00093 "Acceptable conformity" 0.00125 "Nonconformity" 0.0026 1
"200" "Acceptable conformity" 0.00126 "Acceptable conformity" 0.00126 "Nonconformity" 0.00263 1
"201" "Acceptable conformity" 0.00125 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.00296 2
"202" "Close conformity" 0.00116 "Marginally acceptable conformity" 0.00195 "Nonconformity" 0.00312 2
"203" "Close conformity" 0.00107 "Acceptable conformity" 0.0018 "Nonconformity" 0.00291 2
"204" "Acceptable conformity" 0.00142 "Marginally acceptable conformity" 0.00183 "Nonconformity" 0.00288 2
"205" "Close conformity" 0.00095 "Marginally acceptable conformity" 0.00183 "Nonconformity" 0.00327 2
"206" "Close conformity" 0.00104 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00335 2
"207" "Acceptable conformity" 0.00144 "Marginally acceptable conformity" 0.00194 "Nonconformity" 0.00298 2
"208" "Acceptable conformity" 0.00128 "Marginally acceptable conformity" 0.00187 "Nonconformity" 0.00301 2
"209" "Acceptable conformity" 0.00122 "Marginally acceptable conformity" 0.00188 "Nonconformity" 0.00336 2
"210" "Acceptable conformity" 0.00137 "Marginally acceptable conformity" 0.00183 "Nonconformity" 0.00311 2
"211" "Close conformity" 0.00106 "Acceptable conformity" 0.00177 "Nonconformity" 0.003 2
"212" "Acceptable conformity" 0.00134 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.0029 2
"213" "Acceptable conformity" 0.00128 "Marginally acceptable conformity" 0.00205 "Nonconformity" 0.00313 2
"214" "Acceptable conformity" 0.00145 "Marginally acceptable conformity" 0.00184 "Nonconformity" 0.00293 2
"215" "Acceptable conformity" 0.00135 "Marginally acceptable conformity" 0.00203 "Nonconformity" 0.00297 2
"216" "Acceptable conformity" 0.00132 "Marginally acceptable conformity" 0.00186 "Nonconformity" 0.00283 2
"217" "Acceptable conformity" 0.00125 "Marginally acceptable conformity" 0.00196 "Nonconformity" 0.00332 2
"218" "Close conformity" 0.00105 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00297 2
"219" "Close conformity" 0.00099 "Marginally acceptable conformity" 0.00199 "Nonconformity" 0.00305 2
"220" "Close conformity" 0.00101 "Marginally acceptable conformity" 0.00184 "Nonconformity" 0.00333 2
"221" "Close conformity" 0.00084 "Marginally acceptable conformity" 0.0019 "Nonconformity" 0.00281 2
"222" "Acceptable conformity" 0.00167 "Marginally acceptable conformity" 0.00185 "Nonconformity" 0.00276 2
"223" "Acceptable conformity" 0.00163 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00282 2
"224" "Acceptable conformity" 0.00127 "Marginally acceptable conformity" 0.00192 "Nonconformity" 0.00301 2
"225" "Acceptable conformity" 0.0014 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00297 2
"226" "Close conformity" 0.00103 "Marginally acceptable conformity" 0.00203 "Nonconformity" 0.00324 2
"227" "Acceptable conformity" 0.0012 "Marginally acceptable conformity" 0.00184 "Nonconformity" 0.00283 2
"228" "Close conformity" 0.0012 "Marginally acceptable conformity" 0.00196 "Nonconformity" 0.00318 2
"229" "Acceptable conformity" 0.00146 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00351 2
"230" "Close conformity" 0.00113 "Marginally acceptable conformity" 0.00186 "Nonconformity" 0.00316 2
"231" "Acceptable conformity" 0.0014 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00332 2
"232" "Acceptable conformity" 0.00139 "Marginally acceptable conformity" 0.00196 "Nonconformity" 0.0033 2
"233" "Acceptable conformity" 0.00138 "Marginally acceptable conformity" 0.00207 "Nonconformity" 0.00326 2
"234" "Acceptable conformity" 0.00136 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00294 2
"235" "Close conformity" 0.00117 "Marginally acceptable conformity" 0.00185 "Nonconformity" 0.0031 2
"236" "Acceptable conformity" 0.00144 "Marginally acceptable conformity" 0.00195 "Nonconformity" 0.00296 2
"237" "Close conformity" 0.00115 "Acceptable conformity" 0.00169 "Nonconformity" 0.00297 2
"238" "Acceptable conformity" 0.0014 "Marginally acceptable conformity" 0.002 "Nonconformity" 0.00301 2
"239" "Acceptable conformity" 0.00127 "Marginally acceptable conformity" 0.00195 "Nonconformity" 0.00331 2
"240" "Acceptable conformity" 0.00137 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.00291 2
"241" "Acceptable conformity" 0.00125 "Marginally acceptable conformity" 0.00186 "Nonconformity" 0.00298 2
"242" "Close conformity" 0.00115 "Marginally acceptable conformity" 0.00205 "Nonconformity" 0.00319 2
"243" "Close conformity" 0.00116 "Marginally acceptable conformity" 0.00195 "Nonconformity" 0.0031 2
"244" "Acceptable conformity" 0.00145 "Marginally acceptable conformity" 0.00192 "Nonconformity" 0.00306 2
"245" "Acceptable conformity" 0.0012 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.00293 2
"246" "Acceptable conformity" 0.00129 "Acceptable conformity" 0.00177 "Nonconformity" 0.00296 2
"247" "Close conformity" 0.00104 "Marginally acceptable conformity" 0.00202 "Nonconformity" 0.00302 2
"248" "Acceptable conformity" 0.00161 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.00291 2
"249" "Close conformity" 0.00074 "Acceptable conformity" 0.0018 "Nonconformity" 0.00326 2
"250" "Acceptable conformity" 0.00147 "Marginally acceptable conformity" 0.002 "Nonconformity" 0.00305 2
"251" "Acceptable conformity" 0.0014 "Acceptable conformity" 0.00179 "Nonconformity" 0.00287 2
"252" "Acceptable conformity" 0.00123 "Marginally acceptable conformity" 0.00193 "Nonconformity" 0.00302 2
"253" "Acceptable conformity" 0.00138 "Marginally acceptable conformity" 0.00182 "Nonconformity" 0.00318 2
"254" "Close conformity" 0.00112 "Marginally acceptable conformity" 0.00203 "Nonconformity" 0.00317 2
"255" "Close conformity" 0.00082 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00311 2
"256" "Acceptable conformity" 0.00126 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.00319 2
"257" "Close conformity" 0.00094 "Marginally acceptable conformity" 0.00184 "Nonconformity" 0.00319 2
"258" "Acceptable conformity" 0.00122 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00316 2
"259" "Close conformity" 0.00102 "Marginally acceptable conformity" 0.00207 "Nonconformity" 0.00314 2
"260" "Acceptable conformity" 0.00138 "Marginally acceptable conformity" 0.00201 "Nonconformity" 0.00303 2
"261" "Acceptable conformity" 0.00148 "Marginally acceptable conformity" 0.00189 "Nonconformity" 0.003 2
"262" "Acceptable conformity" 0.0017 "Marginally acceptable conformity" 0.0019 "Nonconformity" 0.00282 2
"263" "Acceptable conformity" 0.00123 "Marginally acceptable conformity" 0.00195 "Nonconformity" 0.00308 2
"264" "Close conformity" 0.00103 "Acceptable conformity" 0.00179 "Nonconformity" 0.00335 2
"265" "Close conformity" 0.00119 "Marginally acceptable conformity" 0.00186 "Nonconformity" 0.00325 2
"266" "Close conformity" 0.00102 "Marginally acceptable conformity" 0.00188 "Nonconformity" 0.00313 2
"267" "Close conformity" 0.00111 "Marginally acceptable conformity" 0.00185 "Nonconformity" 0.00296 2
"268" "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00194 "Nonconformity" 0.00302 2
"269" "Acceptable conformity" 0.00163 "Marginally acceptable conformity" 0.00183 "Nonconformity" 0.00306 2
"270" "Acceptable conformity" 0.00125 "Marginally acceptable conformity" 0.00194 "Nonconformity" 0.00291 2
"271" "Acceptable conformity" 0.00142 "Marginally acceptable conformity" 0.00186 "Nonconformity" 0.00312 2
"272" "Acceptable conformity" 0.00138 "Marginally acceptable conformity" 0.00196 "Nonconformity" 0.00309 2
"273" "Acceptable conformity" 0.00124 "Marginally acceptable conformity" 0.00182 "Nonconformity" 0.00308 2
"274" "Acceptable conformity" 0.00142 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00325 2
"275" "Acceptable conformity" 0.00155 "Acceptable conformity" 0.00176 "Nonconformity" 0.00299 2
"276" "Close conformity" 0.00112 "Acceptable conformity" 0.00179 "Nonconformity" 0.00305 2
"277" "Close conformity" 0.00111 "Marginally acceptable conformity" 0.00203 "Nonconformity" 0.00303 2
"278" "Close conformity" 0.00119 "Marginally acceptable conformity" 0.002 "Nonconformity" 0.00301 2
